paper_id,title,year,url,arxiv_id,primary_category,categories,pdf_url,topic,reason
P0001,RT-1: Robotics Transformer for Real-World Control at Scale,2022,http://arxiv.org/abs/2212.06817v2,2212.06817v2,cs.RO,"cs.RO,cs.AI,cs.CL,cs.CV,cs.LG",https://arxiv.org/pdf/2212.06817v2,,ranked_by=relevance;score=999;pinned_classic
P0002,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2023,http://arxiv.org/abs/2307.15818v1,2307.15818v1,cs.RO,"cs.RO,cs.CL,cs.CV,cs.LG",https://arxiv.org/pdf/2307.15818v1,,ranked_by=relevance;score=999;pinned_classic
P0003,Octo: An Open-Source Generalist Robot Policy,2024,http://arxiv.org/abs/2405.12213v2,2405.12213v2,cs.RO,"cs.RO,cs.LG",https://arxiv.org/pdf/2405.12213v2,,ranked_by=relevance;score=999;pinned_classic
P0004,OpenVLA: An Open-Source Vision-Language-Action Model,2024,http://arxiv.org/abs/2406.09246v3,2406.09246v3,cs.RO,"cs.RO,cs.LG",https://arxiv.org/pdf/2406.09246v3,,ranked_by=relevance;score=999;pinned_classic
P0005,Large VLM-based Vision-Language-Action Models for Robotic Manipulation: A Survey,2025,http://arxiv.org/abs/2508.13073v2,2508.13073v2,cs.RO,"cs.RO,cs.CV",https://arxiv.org/pdf/2508.13073v2,,ranked_by=relevance;score=12;prior_survey
P0006,Towards a Unified Understanding of Robot Manipulation: A Comprehensive Survey,2025,http://arxiv.org/abs/2510.10903v1,2510.10903v1,cs.RO,cs.RO,https://arxiv.org/pdf/2510.10903v1,,ranked_by=relevance;score=12;prior_survey
P0007,Vision Language Action Models in Robotic Manipulation: A Systematic Review,2025,http://arxiv.org/abs/2507.10672v1,2507.10672v1,cs.RO,"cs.RO,cs.CV",https://arxiv.org/pdf/2507.10672v1,,ranked_by=relevance;score=12;prior_survey
P0008,Foundation Model Driven Robotics: A Comprehensive Review,2025,http://arxiv.org/abs/2507.10087v1,2507.10087v1,cs.RO,cs.RO,https://arxiv.org/pdf/2507.10087v1,,ranked_by=relevance;score=11;prior_survey
P0009,Survey of Vision-Language-Action Models for Embodied Manipulation,2025,http://arxiv.org/abs/2508.15201v2,2508.15201v2,cs.RO,"cs.RO,cs.AI",https://arxiv.org/pdf/2508.15201v2,,ranked_by=relevance;score=11;prior_survey
P0010,A Survey on Robotics with Foundation Models: toward Embodied AI,2024,http://arxiv.org/abs/2402.02385v1,2402.02385v1,cs.RO,"cs.RO,cs.AI",https://arxiv.org/pdf/2402.02385v1,,ranked_by=relevance;score=11;prior_survey
P0011,Embodied AI with Foundation Models for Mobile Service Robots: A Systematic Review,2025,http://arxiv.org/abs/2505.20503v2,2505.20503v2,cs.RO,"cs.RO,cs.AI,cs.CL,cs.CV,cs.LG",https://arxiv.org/pdf/2505.20503v2,,ranked_by=relevance;score=10;prior_survey
P0012,Safe Learning for Contact-Rich Robot Tasks: A Survey from Classical Learning-Based Methods to Safe Foundation Models,2025,http://arxiv.org/abs/2512.11908v2,2512.11908v2,cs.RO,cs.RO,https://arxiv.org/pdf/2512.11908v2,,ranked_by=relevance;score=10;prior_survey
P0013,Robot Learning in the Era of Foundation Models: A Survey,2023,http://arxiv.org/abs/2311.14379v1,2311.14379v1,cs.RO,cs.RO,https://arxiv.org/pdf/2311.14379v1,,ranked_by=relevance;score=10;prior_survey
P0014,"See Once, Then Act: Vision-Language-Action Model with Task Learning from One-Shot Video Demonstrations",2025,http://arxiv.org/abs/2512.07582v1,2512.07582v1,cs.RO,cs.RO,https://arxiv.org/pdf/2512.07582v1,,ranked_by=relevance;score=11
P0015,UniCoD: Enhancing Robot Policy via Unified Continuous and Discrete Representation Learning,2025,http://arxiv.org/abs/2510.10642v2,2510.10642v2,cs.RO,"cs.RO,cs.AI",https://arxiv.org/pdf/2510.10642v2,,ranked_by=relevance;score=11
P0016,An Anatomy of Vision-Language-Action Models: From Modules to Milestones and Challenges,2025,http://arxiv.org/abs/2512.11362v3,2512.11362v3,cs.RO,cs.RO,https://arxiv.org/pdf/2512.11362v3,,ranked_by=relevance;score=10
P0017,GR-RL: Going Dexterous and Precise for Long-Horizon Robotic Manipulation,2025,http://arxiv.org/abs/2512.01801v3,2512.01801v3,cs.RO,"cs.RO,cs.LG",https://arxiv.org/pdf/2512.01801v3,,ranked_by=relevance;score=10
P0018,GigaBrain-0: A World Model-Powered Vision-Language-Action Model,2025,http://arxiv.org/abs/2510.19430v3,2510.19430v3,cs.RO,"cs.RO,cs.CV",https://arxiv.org/pdf/2510.19430v3,,ranked_by=relevance;score=10
P0019,Interleave-VLA: Enhancing Robot Manipulation with Interleaved Image-Text Instructions,2025,http://arxiv.org/abs/2505.02152v2,2505.02152v2,cs.RO,cs.RO,https://arxiv.org/pdf/2505.02152v2,,ranked_by=relevance;score=10
P0020,MoTVLA: A Vision-Language-Action Model with Unified Fast-Slow Reasoning,2025,http://arxiv.org/abs/2510.18337v3,2510.18337v3,cs.RO,cs.RO,https://arxiv.org/pdf/2510.18337v3,,ranked_by=relevance;score=10
P0021,Position: Intelligent Science Laboratory Requires the Integration of Cognitive and Embodied AI,2025,http://arxiv.org/abs/2506.19613v1,2506.19613v1,cs.AI,cs.AI,https://arxiv.org/pdf/2506.19613v1,,ranked_by=relevance;score=10
P0022,SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Model,2025,http://arxiv.org/abs/2501.15830v5,2501.15830v5,cs.RO,"cs.RO,cs.AI",https://arxiv.org/pdf/2501.15830v5,,ranked_by=relevance;score=10
P0023,$π_0$: A Vision-Language-Action Flow Model for General Robot Control,2024,http://arxiv.org/abs/2410.24164v4,2410.24164v4,cs.LG,"cs.LG,cs.RO",https://arxiv.org/pdf/2410.24164v4,,ranked_by=relevance;score=10
P0024,Video Prediction Policy: A Generalist Robot Policy with Predictive Visual Representations,2024,http://arxiv.org/abs/2412.14803v2,2412.14803v2,cs.CV,"cs.CV,cs.RO",https://arxiv.org/pdf/2412.14803v2,,ranked_by=relevance;score=10
P0025,A Systematic Study of Data Modalities and Strategies for Co-training Large Behavior Models for Robot Manipulation,2026,http://arxiv.org/abs/2602.01067v1,2602.01067v1,cs.RO,cs.RO,https://arxiv.org/pdf/2602.01067v1,,ranked_by=relevance;score=9
P0026,ACoT-VLA: Action Chain-of-Thought for Vision-Language-Action Models,2026,http://arxiv.org/abs/2601.11404v1,2601.11404v1,cs.RO,cs.RO,https://arxiv.org/pdf/2601.11404v1,,ranked_by=relevance;score=9
P0027,Causal World Modeling for Robot Control,2026,http://arxiv.org/abs/2601.21998v1,2601.21998v1,cs.CV,"cs.CV,cs.RO",https://arxiv.org/pdf/2601.21998v1,,ranked_by=relevance;score=9
P0028,IG-RFT: An Interaction-Guided RL Framework for VLA Models in Long-Horizon Robotic Manipulation,2026,http://arxiv.org/abs/2602.20715v1,2602.20715v1,cs.RO,cs.RO,https://arxiv.org/pdf/2602.20715v1,,ranked_by=relevance;score=9
P0029,MEM: Multi-Scale Embodied Memory for Vision Language Action Models,2026,http://arxiv.org/abs/2603.03596v2,2603.03596v2,cs.RO,"cs.RO,cs.LG",https://arxiv.org/pdf/2603.03596v2,,ranked_by=relevance;score=9
P0030,MoE-ACT: Improving Surgical Imitation Learning Policies through Supervised Mixture-of-Experts,2026,http://arxiv.org/abs/2601.21971v1,2601.21971v1,cs.RO,"cs.RO,cs.AI,cs.LG",https://arxiv.org/pdf/2601.21971v1,,ranked_by=relevance;score=9
P0031,Point Bridge: 3D Representations for Cross Domain Policy Learning,2026,http://arxiv.org/abs/2601.16212v3,2601.16212v3,cs.RO,cs.RO,https://arxiv.org/pdf/2601.16212v3,,ranked_by=relevance;score=9
P0032,"Rethinking Visual-Language-Action Model Scaling: Alignment, Mixture, and Regularization",2026,http://arxiv.org/abs/2602.09722v1,2602.09722v1,cs.RO,cs.RO,https://arxiv.org/pdf/2602.09722v1,,ranked_by=relevance;score=9
P0033,SOP: A Scalable Online Post-Training System for Vision-Language-Action Models,2026,http://arxiv.org/abs/2601.03044v1,2601.03044v1,cs.RO,cs.RO,https://arxiv.org/pdf/2601.03044v1,,ranked_by=relevance;score=9
P0034,Semantic-Contact Fields for Category-Level Generalizable Tactile Tool Manipulation,2026,http://arxiv.org/abs/2602.13833v1,2602.13833v1,cs.RO,cs.RO,https://arxiv.org/pdf/2602.13833v1,,ranked_by=relevance;score=9
P0035,4D Visual Pre-training for Robot Learning,2025,http://arxiv.org/abs/2508.17230v2,2508.17230v2,cs.CV,cs.CV,https://arxiv.org/pdf/2508.17230v2,,ranked_by=relevance;score=9
P0036,"A Survey of Sim-to-Real Methods in RL: Progress, Prospects and Challenges with Foundation Models",2025,http://arxiv.org/abs/2502.13187v3,2502.13187v3,cs.LG,"cs.LG,cs.AI,cs.RO",https://arxiv.org/pdf/2502.13187v3,,ranked_by=relevance;score=9
P0037,A Survey on Efficient Vision-Language-Action Models,2025,http://arxiv.org/abs/2510.24795v2,2510.24795v2,cs.CV,"cs.CV,cs.AI,cs.LG,cs.RO",https://arxiv.org/pdf/2510.24795v2,,ranked_by=relevance;score=9
P0038,A Taxonomy for Evaluating Generalist Robot Manipulation Policies,2025,http://arxiv.org/abs/2503.01238v3,2503.01238v3,cs.RO,"cs.RO,cs.AI,cs.LG",https://arxiv.org/pdf/2503.01238v3,,ranked_by=relevance;score=9
P0039,Efficient Vision-Language-Action Models for Embodied Manipulation: A Systematic Survey,2025,http://arxiv.org/abs/2510.17111v3,2510.17111v3,cs.RO,"cs.RO,cs.AI,cs.LG",https://arxiv.org/pdf/2510.17111v3,,ranked_by=relevance;score=9
P0040,From Intention to Execution: Probing the Generalization Boundaries of Vision-Language-Action Models,2025,http://arxiv.org/abs/2506.09930v1,2506.09930v1,cs.RO,"cs.RO,cs.CV",https://arxiv.org/pdf/2506.09930v1,,ranked_by=relevance;score=9
P0041,GR00T N1: An Open Foundation Model for Generalist Humanoid Robots,2025,http://arxiv.org/abs/2503.14734v2,2503.14734v2,cs.RO,"cs.RO,cs.AI,cs.LG",https://arxiv.org/pdf/2503.14734v2,,ranked_by=relevance;score=9
P0042,Generative Models in Decision Making: A Survey,2025,http://arxiv.org/abs/2502.17100v4,2502.17100v4,cs.LG,"cs.LG,cs.AI",https://arxiv.org/pdf/2502.17100v4,,ranked_by=relevance;score=9
P0043,GeoManip: Geometric Constraints as General Interfaces for Robot Manipulation,2025,http://arxiv.org/abs/2501.09783v1,2501.09783v1,cs.RO,cs.RO,https://arxiv.org/pdf/2501.09783v1,,ranked_by=relevance;score=9
P0044,Improving Pre-Trained Vision-Language-Action Policies with Model-Based Search,2025,http://arxiv.org/abs/2508.12211v2,2508.12211v2,cs.RO,"cs.RO,cs.AI",https://arxiv.org/pdf/2508.12211v2,,ranked_by=relevance;score=9
P0045,Large Model Empowered Embodied AI: A Survey on Decision-Making and Embodied Learning,2025,http://arxiv.org/abs/2508.10399v1,2508.10399v1,cs.RO,cs.RO,https://arxiv.org/pdf/2508.10399v1,,ranked_by=relevance;score=9
P0046,Large language models for artificial general intelligence (AGI): A survey of foundational principles and approaches,2025,http://arxiv.org/abs/2501.03151v1,2501.03151v1,cs.AI,"cs.AI,cs.CV,cs.LG",https://arxiv.org/pdf/2501.03151v1,,ranked_by=relevance;score=9
P0047,Maestro: Orchestrating Robotics Modules with Vision-Language Models for Zero-Shot Generalist Robots,2025,http://arxiv.org/abs/2511.00917v2,2511.00917v2,cs.RO,"cs.RO,cs.AI",https://arxiv.org/pdf/2511.00917v2,,ranked_by=relevance;score=9
P0048,MoManipVLA: Transferring Vision-language-action Models for General Mobile Manipulation,2025,http://arxiv.org/abs/2503.13446v1,2503.13446v1,cs.RO,"cs.RO,cs.CV",https://arxiv.org/pdf/2503.13446v1,,ranked_by=relevance;score=9
P0049,Multimodal Fusion and Vision-Language Models: A Survey for Robot Vision,2025,http://arxiv.org/abs/2504.02477v3,2504.02477v3,cs.RO,"cs.RO,cs.CV",https://arxiv.org/pdf/2504.02477v3,,ranked_by=relevance;score=9
P0050,"OpenHelix: A Short Survey, Empirical Analysis, and Open-Source Dual-System VLA Model for Robotic Manipulation",2025,http://arxiv.org/abs/2505.03912v1,2505.03912v1,cs.RO,"cs.RO,cs.CV",https://arxiv.org/pdf/2505.03912v1,,ranked_by=relevance;score=9
P0051,PAC Bench: Do Foundation Models Understand Prerequisites for Executing Manipulation Policies?,2025,http://arxiv.org/abs/2506.23725v1,2506.23725v1,cs.RO,"cs.RO,cs.AI",https://arxiv.org/pdf/2506.23725v1,,ranked_by=relevance;score=9
P0052,RICL: Adding In-Context Adaptability to Pre-Trained Vision-Language-Action Models,2025,http://arxiv.org/abs/2508.02062v1,2508.02062v1,cs.RO,"cs.RO,cs.AI",https://arxiv.org/pdf/2508.02062v1,,ranked_by=relevance;score=9
P0053,"RoboMIND 2.0: A Multimodal, Bimanual Mobile Manipulation Dataset for Generalizable Embodied Intelligence",2025,http://arxiv.org/abs/2512.24653v3,2512.24653v3,cs.RO,cs.RO,https://arxiv.org/pdf/2512.24653v3,,ranked_by=relevance;score=9
P0054,Robot Control Stack: A Lean Ecosystem for Robot Learning at Scale,2025,http://arxiv.org/abs/2509.14932v2,2509.14932v2,cs.RO,"cs.RO,cs.LG",https://arxiv.org/pdf/2509.14932v2,,ranked_by=relevance;score=9
P0055,Taxonomy and Trends in Reinforcement Learning for Robotics and Control Systems: A Structured Review,2025,http://arxiv.org/abs/2510.21758v3,2510.21758v3,cs.RO,"cs.RO,cs.LG",https://arxiv.org/pdf/2510.21758v3,,ranked_by=relevance;score=9
P0056,Towards Embodied Agentic AI: Review and Classification of LLM- and VLM-Driven Robot Autonomy and Interaction,2025,http://arxiv.org/abs/2508.05294v4,2508.05294v4,cs.RO,"cs.RO,cs.AI,cs.LG",https://arxiv.org/pdf/2508.05294v4,,ranked_by=relevance;score=9
P0057,"Vision-Language-Action (VLA) Models: Concepts, Progress, Applications and Challenges",2025,http://arxiv.org/abs/2505.04769v2,2505.04769v2,cs.CV,cs.CV,https://arxiv.org/pdf/2505.04769v2,,ranked_by=relevance;score=9
P0058,Vision-Language-Action Models for Robotics: A Review Towards Real-World Applications,2025,http://arxiv.org/abs/2510.07077v1,2510.07077v1,cs.RO,"cs.RO,cs.AI,cs.CV,cs.LG",https://arxiv.org/pdf/2510.07077v1,,ranked_by=relevance;score=9
P0059,AdaDemo: Data-Efficient Demonstration Expansion for Generalist Robotic Agent,2024,http://arxiv.org/abs/2404.07428v1,2404.07428v1,cs.RO,"cs.RO,cs.LG",https://arxiv.org/pdf/2404.07428v1,,ranked_by=relevance;score=9
