title,year,url,arxiv_id,doi,venue,primary_category,categories,pdf_url,source
RT-1: Robotics Transformer for Real-World Control at Scale,2022,http://arxiv.org/abs/2212.06817v2,2212.06817v2,,,cs.RO,"cs.RO,cs.AI,cs.CL,cs.CV,cs.LG",https://arxiv.org/pdf/2212.06817v2,arxiv
RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2023,http://arxiv.org/abs/2307.15818v1,2307.15818v1,,,cs.RO,"cs.RO,cs.CL,cs.CV,cs.LG",https://arxiv.org/pdf/2307.15818v1,arxiv
Octo: An Open-Source Generalist Robot Policy,2024,http://arxiv.org/abs/2405.12213v2,2405.12213v2,,,cs.RO,"cs.RO,cs.LG",https://arxiv.org/pdf/2405.12213v2,arxiv
OpenVLA: An Open-Source Vision-Language-Action Model,2024,http://arxiv.org/abs/2406.09246v3,2406.09246v3,,,cs.RO,"cs.RO,cs.LG",https://arxiv.org/pdf/2406.09246v3,arxiv
A Survey on Vision-Language-Action Models for Embodied AI,2024,http://arxiv.org/abs/2405.14093v7,2405.14093v7,,,cs.RO,"cs.RO,cs.CL,cs.CV",https://arxiv.org/pdf/2405.14093v7,arxiv
Embodied AI with Foundation Models for Mobile Service Robots: A Systematic Review,2025,http://arxiv.org/abs/2505.20503v2,2505.20503v2,10.3390/robotics15030055,"Robotics 2026, 15(3), 55",cs.RO,"cs.RO,cs.AI,cs.CL,cs.CV,cs.LG",https://arxiv.org/pdf/2505.20503v2,arxiv
Towards Embodied Agentic AI: Review and Classification of LLM- and VLM-Driven Robot Autonomy and Interaction,2025,http://arxiv.org/abs/2508.05294v4,2508.05294v4,,,cs.RO,"cs.RO,cs.AI,cs.LG",https://arxiv.org/pdf/2508.05294v4,arxiv
A High-Fidelity Digital Twin for Robotic Manipulation Based on 3D Gaussian Splatting,2026,http://arxiv.org/abs/2601.03200v1,2601.03200v1,,,cs.RO,cs.RO,https://arxiv.org/pdf/2601.03200v1,arxiv
A Perspective on Open Challenges in Deformable Object Manipulation,2026,http://arxiv.org/abs/2602.22998v1,2602.22998v1,,,cs.RO,cs.RO,https://arxiv.org/pdf/2602.22998v1,arxiv
A Pragmatic VLA Foundation Model,2026,http://arxiv.org/abs/2601.18692v2,2601.18692v2,,,cs.RO,"cs.RO,cs.CV",https://arxiv.org/pdf/2601.18692v2,arxiv
A Review of Online Diffusion Policy RL Algorithms for Scalable Robotic Control,2026,http://arxiv.org/abs/2601.06133v2,2601.06133v2,,,cs.LG,"cs.LG,cs.AI,cs.RO",https://arxiv.org/pdf/2601.06133v2,arxiv
A Soft Wrist with Anisotropic and Selectable Stiffness for Robust Robot Learning in Contact-rich Manipulation,2026,http://arxiv.org/abs/2602.14434v1,2602.14434v1,,,cs.RO,cs.RO,https://arxiv.org/pdf/2602.14434v1,arxiv
A Systematic Study of Data Modalities and Strategies for Co-training Large Behavior Models for Robot Manipulation,2026,http://arxiv.org/abs/2602.01067v1,2602.01067v1,,,cs.RO,cs.RO,https://arxiv.org/pdf/2602.01067v1,arxiv
ACoT-VLA: Action Chain-of-Thought for Vision-Language-Action Models,2026,http://arxiv.org/abs/2601.11404v1,2601.11404v1,,,cs.RO,cs.RO,https://arxiv.org/pdf/2601.11404v1,arxiv
AIR-VLA: Vision-Language-Action Systems for Aerial Manipulation,2026,http://arxiv.org/abs/2601.21602v2,2601.21602v2,,,cs.RO,cs.RO,https://arxiv.org/pdf/2601.21602v2,arxiv
APPLV: Adaptive Planner Parameter Learning from Vision-Language-Action Model,2026,http://arxiv.org/abs/2603.08862v1,2603.08862v1,,,cs.RO,"cs.RO,cs.LG",https://arxiv.org/pdf/2603.08862v1,arxiv
Accelerating Robotic Reinforcement Learning with Agent Guidance,2026,http://arxiv.org/abs/2602.11978v2,2602.11978v2,,,cs.RO,"cs.RO,cs.AI",https://arxiv.org/pdf/2602.11978v2,arxiv
Advances in GRPO for Generation Models: A Survey,2026,http://arxiv.org/abs/2603.06623v1,2603.06623v1,,,cs.LG,cs.LG,https://arxiv.org/pdf/2603.06623v1,arxiv
Advancing Improvisation in Human-Robot Construction Collaboration: Taxonomy and Research Roadmap,2026,http://arxiv.org/abs/2601.17219v1,2601.17219v1,,,cs.RO,cs.RO,https://arxiv.org/pdf/2601.17219v1,arxiv
Advancing Open-source World Models,2026,http://arxiv.org/abs/2601.20540v1,2601.20540v1,,,cs.CV,cs.CV,https://arxiv.org/pdf/2601.20540v1,arxiv
Affordance-Graphed Task Worlds: Self-Evolving Task Generation for Scalable Embodied Learning,2026,http://arxiv.org/abs/2602.12065v1,2602.12065v1,,,cs.RO,cs.RO,https://arxiv.org/pdf/2602.12065v1,arxiv
Agentic AI for Robot Control: Flexible but still Fragile,2026,http://arxiv.org/abs/2602.13081v1,2602.13081v1,,,cs.RO,cs.RO,https://arxiv.org/pdf/2602.13081v1,arxiv
AnyCamVLA: Zero-Shot Camera Adaptation for Viewpoint Robust Vision-Language-Action Models,2026,http://arxiv.org/abs/2603.05868v1,2603.05868v1,,,cs.RO,cs.RO,https://arxiv.org/pdf/2603.05868v1,arxiv
Articulated 3D Scene Graphs for Open-World Mobile Manipulation,2026,http://arxiv.org/abs/2602.16356v1,2602.16356v1,,,cs.RO,"cs.RO,cs.AI,cs.CV",https://arxiv.org/pdf/2602.16356v1,arxiv
Athena: An Autonomous Open-Hardware Tracked Rescue Robot Platform,2026,http://arxiv.org/abs/2602.19898v1,2602.19898v1,10.1109/SSRR68451.2025.11391264,,cs.RO,cs.RO,https://arxiv.org/pdf/2602.19898v1,arxiv
Autonomous Manipulation of Hazardous Chemicals and Delicate Objects in a Self-Driving Laboratory: A Sliding Mode Approach,2026,http://arxiv.org/abs/2602.06977v1,2602.06977v1,,,cs.RO,cs.RO,https://arxiv.org/pdf/2602.06977v1,arxiv
"Autonomous Navigation at the Nano-Scale: Algorithms, Architectures, and Constraints",2026,http://arxiv.org/abs/2601.13252v2,2601.13252v2,,,cs.RO,"cs.RO,eess.SY",https://arxiv.org/pdf/2601.13252v2,arxiv
